id,question,answer
306,What division of Mexican football is the team that Jesús Daniel García Esparza currently plays for?,Liga MX
307,What is the are of the university at which Dick Biddle served as head football coach?,575 acres (2.08 km²)
308,What is the seventh book of the Hebrew and Christina bible and also has Quran references to the river drinking experience?,Book of Judges
309,"What are the letters of the radio station serves the area comprising all of Belknap County, among others?",WANH
310,"""This Ole House"" topped the UK chart in 1981 in a recording by a platinum-selling British rock and roll singer whose recording and performing career began when? ",in the late 1960s
311,Which Prince of Bismarcks EMS dispatch incited France to declare the Franco-Prussian War in July 1870,Otto Eduard Leopold
312,What is the original name of the place where The 1st Minnesota Light Artillery Battery mustered?,Fort Saint Anthony
313,What man with a lazy left eye starred in Sacred Ground?,Jack Elam
314,When was the magazine Sam Duckworth got his name Get Cape. Wear Cape. Fly from launched?,January 2004
315,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup
316,What 2003 Christmas-themed romantic comedy did Gregor Fisher have a role in?,Love Actually
317,In what year did a movie that starred both Nicholas Cage and Cher come out? ,1987
318,"What is the original surname for the actor who sang ""It's a De-Lovely"" in the 1962 revival of ""Anything Goes""?",Lipshitz
319,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",2013
320,A relative of the emu is native to which continent?,Africa
321,"Who directed the film that had ""The Distance"" in the soundtrack?",Peter Chelsom
322,"Swiss music duo Double released their best known single ""The Captain of Her Heart"" in what year?",1986
323,Did Lewis Allen or Danny DeVito play Louie De Palma?,"Daniel Michael DeVito, Jr."
324,The father of Manning Marius Kimmel retired from the Navy in what year?,1942
325,What award did Flossie Bailey receive that was named after the first female self-made millionaire in America?,Madam C. J. Walker
326,Castle Hill is a plantation near what primary residence of Thomas Jefferson?,Monticello
327,Toyota Innova is part of the IMV program along with which light commercial vehicle?,Hilux
328,Were Ilya Ehrenburg and Harold Robbins both translators?,no
329,"What is unique about the forum an American poet, memoirist, and civil rights activist spoke at?",oldest free public lecture series
330,Who graduated from The SC Bastia Reserves and Academy  and was born 9 September 1987?,Alexandre Dimitri Song Billong
331,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,"1,289,500"
332,Friedrich Ratzel coined the phrase Lebensraum; which political movement made it notorious by taking it to extremes?,the Nazi Party
333,Which How to Steal a Million actor attended the Royal Academy of Dramatic Art?,Peter O'Toole
334,Which former mill town is near Rivington Hall Barn?,Bolton
335,What 4-D film attraction at Walt Disney World is based off a 2004 computer-animated Christmas movie? ,Mickey's PhilharMagic
336,Do Singapore Sling and Fish House Punch both contain alcohol?,yes
337,"What is the name of the range of characteristics pertaining to, and differentiating between, masculinity and femininity which Mary Karooro Okurut was appointed to in 2012 as Minister of?",Gender and Social Issues
338,What is the name of the number-one single featuring the winner of Celebrity Apprentice 3?,Every Rose Has Its Thorn
339,Four presidents including the 26th president Theodore Roosevelt were featured in the 60ft sculpture in the granite face of Mount Rushmore which was sculpted by what sculptor?,Sculptor Gutzon Borglum
340,The Northern Circuit dates from a year when a King of England married to whom sent his justices on circuit?,Eleanor of Aquitaine
341,"Which movie was released first, Return to Oz or Midnight Madness?",Midnight Madness
342,Which retired Argentine footballer who played as a forward was a main player for Valencia CF?,Claudio Javier López
343,What type of believer does Mir Jafar Baghirov and Joseph Stalin have in common?,communist
344,Jared Has Aides was about the spokesperson for which company?,Subway
345,Are Anja Salomonowitz and Rod Lurie both directors?,yes
346,Which date occurred first the end of Riley Hawk's amateur career or end of production of Skateboard Magazine ?,"October 15, 2013"
347,What public radio network in New York has allowed Eric Plakun to dis his psychiatric work?,WAMC
348,Taylor Momsen and Craig Mabbitt from Escape the Fate have what in common?,lead singer
349,"Les Ottolenghi was previously the Chief Information Officer at what casino in Paradise, Nevada?",Las Vegas Sands
350,In what year was Shin Hyun-joon in the successful South Korean comey sequel?,2005
351,Which New Jersey-based manufacturer of suitcases and bags for travel is located in the Shops at Columbus Circle in New York City?,"Tumi Holdings, Inc."
352,Where was the original line of the railroad William Howard worked for?,the port of Baltimore west to Sandy Hook
353,The author of Sexual Politics attended which British University?,Oxford
354,Li Yitong played Huang Rong is a tv series directed by who?,Jeffrey Chiang
355,"How many major novels did the author write, whose 1811 book was adapted for a 2008 film with a screenplay by Andrew Davies ?",six
356,"What aviator participated to the Transatlantic flight organized by the ""heir apparent"" to Italian dictator Benito Mussolini?",Antonio Lippi
357,Which mechanical device which engages and disengages power transmission  uses brake fluid?,hydraulic clutch
358,"Between Gareth Evans and Pierre Chenal, who's had a more diver career?",Gareth Huw Evans
359,Pablo Jose Ozuna is the cousin of a Dominican professional baseball left fielder who made his MLB debut in what year?,2013
360,"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",The Beatles
361,"How many records had the team sold before performing ""aint thinkin' 'bout you""?",three million copies worldwide
362,Which American politician who served as United States Senator from 1971 to 1989 was Governor of Florida before Buddy MacKay?,Lawton Chiles
363,What year did a director of a North Korean cinema film get kidnapped?,1978
364,"Who achieved more academically, Andrea Martin or Mark Hoplamazian? ",Mark S. Hoplamazian
365,"Toby Scott worked with which American singer born on May 24, 1941?",Bob Dylan
366,Where is the head quarter of the Blue Bird Body Company?,"Fort Valley, Georgia"
367,Are Waco Regional Airport and Idaho Falls Regional Airport both city owned airports?  ,yes
368,Where was the university at which  Barrie Ciliberti was a professor located? ,"Prince George's County, Maryland"
369,"Which has more species, Festuca or Dactylis?",Festuca
370,Which building is taller Bertelsmann Building or 432 Park Avenue?,432 Park Avenue
371,Are both American Foxhound and Löwchen types of Foxhounds?,no
372,"Which facility was founded in Missouri, Discovery Zone or Valentino's?",Discovery Zone
373,"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",Chloë Alexandra Adele Emily Agnew
374,"Which Kevin Costner movie included an actor who also starred in ""Little Big League""?","""Field of Dreams"""
375,Who was the director of 2004 American teen comedy adventure film in which Michelle Christine Trachtenberg appeared?,Schaffer
376,Japanese destroyer Oite participated in what conflict that ended with the surrender of the American forces to the Empire of Japan?,Battle of Wake Island
377,Christopher de Haro provided the financial backing to what Portuguese explorer who organised the Spanish expedition to the East Indies from 1519 to 1522? ,Ferdinand Magellan
378,Falling Stars is a role-playing game published by the company based out of what country?,Lithuania
379,The Zapruder film shows President John F. Kennedy's motorcade as it passed through a plaza that was named aNational Historic Landmark in what year? ,1993
380,"Who lived longer, Tony Richardson or Giorgio Ferroni?",Giorgio Ferroni
381,Are Water dropwort and Costus both in the family Apiaceae?,no
382,Gerd Neggo trained under the founder of which type of dance analysis?,Laban Movement Analysis
383,What is the population of the town that gets it's water supply from Canobie Lake?,"28,776 at the 2010 census"
384,"Who has released more studio albums, Candlelight Red or Motion City Soundtrack?",Motion City Soundtrack
385,Who wrote the 1970 international hit song Murray Head is most recognized for?,Andrew Lloyd Webber and Tim Rice
386,"Where is the singer of ""B Boy"" raised?",Philadelphia
387,The major benefactor who donated money to build Archbold Gymnasium sold his oil company to whom?,John D Rockefeller's Standard Oil Company
388,Me and You and Everyone We Know was directed by an artist who also directed what 2011 film?,The Future
389,"What role did the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" play in ""Kentucky Jones""",Seldom Jackson
390,The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon
391,George Tawengwa was the first black person to buy a farm located in a country now known as which country ?,Zimbabwe
392,"Which film was released first, Home on the Range or Pete's Dragon?",Home on the Range
393,Command and Control was a book that discusses the 1980 incident in what state?,Arkansas
394,The host of PokerFace is from where?,"Newcastle upon Tyne, England"
395,"Of which painting was this German dancer, actress, and writer who lived during the Weimar period and appeared in the 1918 German silent drama film ""The Story of Dida Ibsen"" the subject?",an Otto Dix painting
396,"In the USA, gun powder is used in conjunction with this to start the Boomershot.",Anvil firing
397,"What resort in Biloxi, Mississippi does the Chief Operating Officer of the largest single hotel in the United States oversee?",Beau Rivage
398,What park is just south of the location where the New York Jets played prior to moving to Shea Stadium? ,Central Park
399,Who directed the film where Susanne Pollatschek voiced Olivia Flaversham?,"Burny Mattinson, David Michener, and the team of John Musker and Ron Clements"
400,Did both  Slaughter-House Cases and United States v. Darby Lumber Co. involve civil rights law?,no
401,Where did Cale Gundy's brother play football in college?,Oklahoma State University
402,Who constructed Auburn the Antebellum mansion and was accused of the Manhattan Well Murder?,Levi Weeks
403,"Which dog originated in Galicia, the Bullenbeisser or Can de Palleiro?",Can de Palleiro
404,"Shane and Friends have interviewed an American YouTube personality who has two active YouTube channels, which have a combined total of how many views?",1.7 billion
405,"""52nd Street"" is a 1978 album that earned two Grammy Awards for which piano-playing songwriter?",Billy Joel
406,Who preceded the man who had the Nassak Diamond cut and placed into the handle of his sword?,1st Earl Grosvenor
407,What other jobs did the man that co-produced Gyara Hazar Ladkian have?,film lyricist
408,Pyotr Verzilov is married to a Russian conceptual artist and what kind of activist?,political
409,Which American band from Knoxville Tennessee released the album From Birth to Burial?,10 Years
410,Renáta Tomanová and Larisa Neiland are former professional athletes for what sport?,professional tennis
411,What is in both the Lithocarpus and Duranta species?,trees
412,What medieval fortress is believed to refer to a chapel at the bottom of a hill?,Bonkyll Castle
413,"When was the Russian composer who composed ""Prisoner of the Caucasus"" born? ",[O.S. 6 January] 1835
414,The eighth-longest rollercoaster in the world is located in what theme park?,Disney California Adventure
415,What religion is the composer for India's first science fiction film series?,Hindi
416,"Which feature film was released earlier, One Magic Christmas or Muppet Treasure Island?",One Magic Christmas
417,"Who was also an actor, Serri or John Fogerty?",Serri
418,In which Sottish Region is the castle in which] Sir Roger de Kirkpatrick was born ?  ,"Dumfries and Galloway,"
419,"When was the American actor, film director which  Dana Brunetti is the president of his company born ","July 26, 1959"
420,"Which building, the Metropolitan Life Insurance Company Tower or the 432 Park Avenue building, has two addresses?",Metropolitan Life Insurance Company Tower
421,Who was born first out of Leopold Lummerstorfer and Laurent Touil-Tartour?,Leopold Lummerstorfer
422,Which conflict involving the Mende ethnic group lasted for eleven years?,Sierra Leone Civil War
423,Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,no
424,"Often seen at the Academy Awards pre-show, what is Robin Roberts's occupation?",American television broadcaster
425,"What is the name of this suburb within the Central Coast Council local government area, where Tessa, of Microwave Jenny, grew up?","Umina Beach, New South Wales"
426,Sum 41 and Passion Pit have what in common?,Passion Pit is an American indietronica band
427,"What is the founding year of this public research university in the Netherlands, where Jan Borgman was a professor from 1968 to 1988?",1614
428,To Catch a Predator was devoted to impersonating people below the age of consent for which in North America varies by what?,jurisdiction
429,Whistle and Yodel both specialize in what service?,delivery service company
430,This One's for the Children had lead vocals by the singer and songwriter of what nationality?,American
431,"Flynn Rider is voiced by which American actor and singer born September 29, 1980?",Zachary Levi
432,What was the position in the United States Army of the Lieutenant general that Confederate General Robert E. Lee surrendered to?,Commanding General
433,Who was the ruler ousted by the 30th Prime Minister of Cambodia after Khmer Rouge's victory over the Lon Nol government?,Prince of Cambodia Norodom Sihanouk
434,"Who was born more recently, Flula Borg, or Dirk Nowitzki?",Flula Borg
435,"Nuestra Belleza México 2010 was crowned by the winner of what other 2010 pageant, the winner of which was crowned on 23 August 2010?",Miss Universe 2010
436,Peter Curtis and Scott Draper are both what?,former tennis player
437,Armie Hammer stars as Oliver in a film directed by who ?,Luca Guadagnino
438,When did the British philosopher whose works inspired Kate Horsley's interest in Zen die?,16 November 1973
439,"This stadium, the largest in eastern Europe, was home to the 1998 IAAF Grand Prix Final.  How many seats does it have?","81,000 seats"
440,"When was the anthology, in which fisrt pages of The Incal"" were released, created?",December 1974
441,Figure 2 Ranch Airport supports launch operations of what aerospace manufacturer and space flight services company?,Blue Origin
442,"When did the University, of which The Dove Marine Laboratory is a part, gain University status ? ?",1963
443,What was the address of the penitentiary where Jimmy Elliot was sentenced?,2027 Fairmount Avenue
444,Who produced the film that was Jennifer Kent's directorial debut?,Kristina Ceyton and Kristian Moliere
445,Lee Sung-jae stars in the film Barking Dogs Never Bite which is what film genre?,comedy-drama
446,"In the seventh-largest country in Africa, what is the oil prodcution of the city at the mouth of the Congo River?",1200000 oilbbl/d
447," Which 1970's film was released first, Charley and the Angel or The Boatniks?","The Boatniks is a 1970 American comedy film starring Robert Morse, Stefanie Powers, Don Ameche and Phil Silvers."
448,Not About Angels was used in the film adaptation of what novel by John Green?,The Fault in Our Stars
449,"What year was the film ""Mom"" released, starring the voice of Shashaa Tirupati?",2017
450,What bluegrass singer provides vocals for a song on the album which was released in September 2013 through PRMD Music?,Dan Tyminski
451,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,Dante
452,David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris
453,"The younger brother, who became king, of Princess Mafalda of Savoy reigned for how many days?",34 days
454,Which actor that has performed as Inspector Javert in a Les Misérables production Has won the Laurence Olivier Award for Best Actor in a musical three times?,Philip Quast
455,Of which band was the singer who released the record I Get Weak once a member ?,"The Go-Go's,"
456,Which of the following buildings was designed by SHoP Architects: 247 Cherry or General Motors Building?,247 Cherry
457,Wheelock Whitney is just one member of the Whitney Family. Where did this American family originate from?,"London, England"
458,"Midland F1 Racing was a racing team that, in 2007, competed under what name for sponsorship reasons?",Spyker F1
459,Giselle Cossard was known as Mother Giselle of what type of diety?,major water deity
460,Which of the teams that Sun-woo Kim played on never won a division title?,Colorado Rockies
461,What studio album did Kanye West record with Roc-A-Fella Records and soul singer Dwele?,My Beautiful Dark Twisted Fantasy
462,What team plays within the Big 12 Conference and has Kevin Bookout playing for them?,Oklahoma Sooners men's basketball
463,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,The Hungry
464,In what year was the soft drink that the Coca-Cola Company designed Red Flash to compete against created?,1937
465,"Which ""The Chronicles of Narnia"" character is prominently featured in ""The Lion, the Witch and the Wardrobe"" and is a close friend with Lucy Pevensie whom she meets in the Lantern Waste.",Mr. Tumnus
466,J.B. Scotts located on this 11 mile stretch in Albany New York and is also known by this name in Schenectady County?,State Street
467,What county in Minnesota holds a 202 lb slab of greywacke covered in runes?,Douglas
468, What annual event occurs on a property co-founded by an American who was the best-selling recording artist of the 20th century?,San Diego County Fair
469,What is the name of the fashion label that the founder of the Faena Arts Center founded in 1985?,Via Vai
470,What championship did the person who substituted for Simon Pagenaud secure a contract to drive in 2017?,Australian Supercars Championship
471,Are both Barry Unsworth and P. G. Wodehouse from the same country?,yes
472,To which taxonomic category do both Hyacinthoides and Anthriscus belong?,genus
473,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville
474,"Which is in the pop genre, Capital Cities or Tweaker?",Capital Cities
475,What Canadian filmmaker created a film about Bettie Page in 2005?,"Mary Harron (born January 12, 1953)"
476,What movement was the the person referred to as Mumia part of?,black nationalism
477,"Which restaurant chain is based further south, Pizza Fusion or Imo's Pizza?",Pizza Fusion
478,"Which restaurant was founded first, Papa Murphy's or Gino's Pizza and Spaghetti?",Gino's Pizza and Spaghetti
479,"Which team was older when it had it's worst season, The Cleveland Browns or the Detroit Lions",Detroit Lions
480,The first Latina Supreme Court Justice was part of the majority decision of a case that upheld which previous supreme court case?,Apprendi v. New Jersey
481,Which Australian professional women's basketball team has an American playing in it?,Adelaide Lightning
482,What singer who was the seventh place finalist on the 7th season of American Idol first recorded the song Like My Mother Does,Kristy Lee Cook
483,PISCES was developed by the company that is headquartered in what city?,"McLean, Virginia"
484,What supernatural horror film did Miles Doleac have a role in?,Sleepy Hollow
485,Which publisher released the prequel to the 2012 novel Boneland in 1960?,Sir William Collins
486,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Oedipus Rex
487,"In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?",nineteenth
488,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866
489,Are Control Room and Meeting Resistance both documentary films that involve Iraq?,yes
490,"Which writer died later, Agatha Christie or Clement Greenberg?",Clement Greenberg
491,"Does Jimmy Barnes have more hits, both solo and in a group, than Yang Seung-ho has with his group?",yes
492,Where did the designer of the Van de Graaff generator teach at?,Princeton University and Massachusetts Institute of Technology
493,Are Yucca and Rodgersia both perennials?,yes
494,What is the nationality of the poet who wrote Une Tempete and first performed it in Tunisia?,French
495,"The Declaration of Montreal was the founding document of which world event, lasting from July 26-August 5, 2006?",The 1st World Outgames
496,The Roissy Airport connects to Paris and cities in what countries?,"in France, as well as to Belgium"
497,What city did the Freebooters F.C. soccer team lose in that is now known as Croke Park?,Dublin
498,Are Chlidanthus and Maianthemum both flowering plants?,yes
499,Were both Life magazine and Strictly Slots magazine published monthly in 1998?,yes
500,"Which was Disney's 2nd animated production, Pinocchio or Home on the Range?",Pinocchio
501,What city does Paul Clyne and David Soares have in common?,New York
502,Black Book starred the actress and writer of what heritage?,Dutch
503,In what year did the parent show of The URL with Phred Show end?,2002
504,What is the birthday of the Earl of Merioneth?,10 June 1921
505,"What novella was ""Eyes Wide Shut,"" starring Vinessa Elizabeth Shaw, based on?","""Traumnovelle"" (""Dream Story"")"
506,Whose helmet is it discovered in 1939 which is well preserved and together with the Coppergate Helmet?,is widely believed to have been the helmet of King Rædwald of East Anglia
507,"The 1996 film ""The Christmas Tree"" stars Andrew McCarthy and an actress that has won how any Emmy Awards?",three
508,"In what city is the mortgage lending company, founded by Dan Gilbert, headquartered?","Detroit, Michigan"
509,What is the nickname of the peninsula that is home to the Calabrian Black Squirrel?,"""lo Stivale"" (the Boot)"
510,Are Dogo Cubano and the Dutch Shepherd both breeds of dog?,yes
511,"Are Jiujiang, Guangdong and Ruzhou located in the same Chinese district?",no
512,What position does Kyle York hold at the internet performance management company Dyn?,Chief Strategy Officer
513,Is Edison Sault Power Canal somehow linked with or used with the Cayuga–Seneca Canal?,no
514,What is type of philosophies is The Structure of Liberty about?,political
515,The director of a film about Wong Fei-hung also made what film? ,"""The 36th Chamber of Shaolin"""
516,What sort of activist is the author of The Irrational Atheist? ,alt-right
517,Are PC Magazine and Sculptural Pursuit both technology publications?,no
518,"What film, based on the book “Boston Strong”, featured the actress Alex McKenna?",Patriots Day
519,"George H. W. Bush,  a resident of West Oaks Subdivision in Houston Texas, became what number President in 1989? ",41st
520,"what is the group called that Dianne Morgan and Joe Wilkinson a part of in the BBC comedy ""Two Episodes of Mash""",the deadpan sketch group
521,"What singer-songwriter from Derry appeared on Paul van Dyk's 2012 album, Evolution?",Johnny McDaid
522,"Which airport is busier, Palm Springs International Airport or Trenton–Mercer Airport?",Trenton–Mercer Airport
523,"The thid episode of the first season of The Simpsons, features which character voiced by Harry Shearer?",Mr. Smithers
524,Which casino closed first The Atlantic Club Casino Hotel or Trump Plaza Hotel and Casino ? ,The Atlantic Club Casino Hotel
525,To what sport does the Atomweight class belong?,mixed martial arts
526,Were Cinderella and The Emperor's New Groove released by the same picture company?,no
527,Viscount Yamaji Motoharu was a general in the early Imperial Japanese Army which belonged to which Empire?,Empire of Japan
528,Boggle is a word game originally distributed by a toy and game manufacturer that published more than how many games?,"1,800"
529,Of these two publication--Báiki and Sick--what type of publication is the one that was published most frequently? ,satirical-humor magazine
530,In which county does the  8th Military Police Brigade  of the United States Army's Barracks located?,Honolulu
531,What magazine was started in 1925 and features the work of Barry Werth?,The New Yorker
532,Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?,"Mount Rainier, Washington"
533,Hina is derived from a dye prepared in what areas?,South Asia and the Middle East
534,"The title track of Carla Bruni discography was used in a  film directed by James Ivory, and was also used in what other film?",(500) Days of Summer
535,What country do both Adnan Akmal and Kamran Akmal represent in cricket?,Pakistani
536,Woodland is a census-designated place in a town that had this population as of the 2010 census?,"1,521"
537,When did the author of the book One More River is based on win the Nobel Prize?,1932
538,"The NG postcode area is situated approximately how many miles from Gamston, Rushcliffe?",approximately 3 mi
539,William Bromley-Davenport held political office under the Prime Minister who was of which party?,Conservative
540,What is the nationality of the author of Fifty Shades Freed?,English
541,Are both Grapico and Izze artificially flavored soft drinks?,no
542,Which Canadian Professional ice hockey player of Albanian origin bought in on the deal for the Ontario Raiders?,Tie Domi
543,Zacarías Ferreira is the uncle of a professional basketball player who played college basketball for who?,University of Kentucky
544,Do both Changle District and Longkou face water?,yes
545,What job do both Alfred Santell and David Fincher have in common?,director
546,Which reservation is located in Hill and Chouteau and named after the principal leader of the Montana Chippewa-Cree?,Rocky Boy's Indian Reservation
547,"In which Florida city is Skyplex being constructed, featuring Skyscraper, the tallest rollercoaster in the world?",Orlando
548,What is the name of one the Italian Navy's new warship?,"PPA, Pattugliatore Polivalente d'Altura"
549,"How many small-box format stores are there for one of Newell Brands' brand that sells scented candles, candleholders, accessories, and dinnerware?",560
550,Jimmy D'Arcy played in Northern Ireland for the team based in what county?,Antrim
551,"Which was published more frequently, Popular Science or Girlfriends?",Girlfriends
552,"Who was born first, Martin Degville or Richie Furay?","""Richie"" Furay"
553,What is the 2010 census population of the county where Wildcat Brook flows through Jackson?,"47,818"
554,"Which came out first, Dinosaur or McFarland, USA",Dinosaur
555,"In which city did he painter and printmaker associated with ""Les Nabis"" found Salon d'Automne?",Paris
556,What is the call sign of the airline that operates the flight with United Express Flight 3411 incident?,Brickyard
557,The man who currently serves as the wide receivers coach for the Dallas Cowboys used to coach at what college?,Louisiana Tech
558,"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?",2005
559,My Secret Hotel is a television series starring a South Korean DJ who rose to fame as the lead actress in what?,Queen In-hyun's Man
560,Mía Maestro had a role in the 2002 biopic directed by whom?,Julie Taymor
561,"The Simpsons episode that aired on February 19, 2012 entitled ""At Long Last Leave"" represented what milestone for the show? ",show's 500th episode
562,What sibling of John D. Rockefeller III was the chairman of Chase Manhattan Corporation?,David Rockefeller
563,The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger
564,In what city does a Christian minister who won the singles title with Jan Kodes in the 1970 French Open currently reside?,"Perth, Western Australia"
565,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil
566,"What character did G.D. Spradlin's collaborator Marlon Brando portray in ""On the Waterfront""?",Terry Malloy
567, If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft
568,"Which genus has more species, Azorina or Azadirachta?",Azadirachta
569,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee
570,Daddy was an American Pit Bull who was integral to the work of what Mexican-American dog behaviorist with over 25 years of canine experience?,Cesar Millan
571,Who is the father of the king who attempted to have Eardwulf assassinated,Æthelwald Moll
572,"Howard Bilerman produced an album for which songwriter from Athens, Georgia?",Vic Chesnutt
573,Who co-founded View Askew Productions and produced numerous movies starring Jason Lee?,Kevin Smith
574,Which author wrote about a woman captured by the Symbionese Liberation Army?,Paul Avery
575,"Football at the 2006 Asian Games with Wisoon Wichaya as its coach was played how many days prior to the opening ceromony in Doha, Qatar in 2006? ",14
576,"Which of the steering committee was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years?",Walter Cronkite
577,What was the occupation of the man who published an individualist anarchist journal?,American schoolteacher and publisher
578,Who did a new permanent member on the fourteenth season of  So You Think You Can Dance play in High School Musical?,Gabriella Montez
579,"Which amusement park at Coney Island, Brooklyn, New York City,  without being the grandest, was the island's longest lasting?",Steeplechase Park
580,Richard Münch portrayed the German general who served in what capacity during WWII in the 1970 movie Patton?,Oberkommando der Wehrmacht
581,"Cordyline ruba grows from Bundaberg, Queensland to which northeastern city in New South Whales, Australia?",Lismore
582,"When was the American singer, songwriter, record producer, dancer and actress born who's second studio album is Chapter II?","October 13, 1980"
583,What type of structure does 277 Park Avenue and 126 Madison Avenue have in common?,building
584,Anna Lewandowska is married to a footballer who plays for what club?,Bayern Munich
585,What city is the army division that conducted Operation Blue Hearts in the Korean War based out of?,"Fort Hood, Texas"
586,Who was born in Ireland and has coached the captain of MLS club Colorado Rapids?,Des McAleenan
587,What record company does distribution for Joan Marie Larkin and Kenny Laguna?,Blackheart Records
588,where was the 2006 Commonwealth Games that Mmoloki Nogeng won a bronze medal at held?,"Melbourne, Australia"
589,"Whose native growing land is more south, Beech or Daviesia?",Daviesia
590,"In the muti-sport games usually held every four years between nations around the Mediterranean Sea, Fatma Lanouar is best known for winning gold in which event?",1500 metres
591,Is It Just Me? was a single by the English rock band from what Suffolk city?,Lowestoft
592,"How many records did the boy band who released ""Said and Done"" sell worldwide as of 2013?",25 million
593,"What is the name of the region that includes the cities Dover and Portsmouth, New Hampshire?",Seacoast Region
594,Mr. & Mrs. Mxyzptlk is an episode of the superhero TV series that originally aired on what network?,CBS
595,When was the plaintiff in the 1892 Barbed Wire Patent Case born?,"January 18, 1813"
596,Atlanta Zero Mile Post is located within a historic area opened in what year ?,1969
597,What team won the XLII super bowl in their 48th overall season?,2007 New England Patriots
598,Kang Sung-yeon played Prince Yeonsan in a film that runs for how many minutes ?,119 minutes
599,What are the colors of the tricolour flag that was adopted in 1919?,"green (at the hoist), white and orange"
600,An cricket star who played a supporting role in the film Sinhawalokanaya was a former captain of which cricket team?,Sri Lanka national cricket team
601,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five
602,What do Wrigley Park and social networks have in common?,Neighbourhood
603,Which voice actor plays the voice of the cartoon character that is most famous for his semi-intelligible speech and his mischievous and temperamental personality?,Clarence Nash
604,"What event in 1920 was established by the director of the play ""The Miracle?""",Salzburg Festival
605,Who was the brother of the wife of the Democratic Party nomination for Vice President in 1972?,President John F. Kennedy
606,What type of product is the sponsor of the Premiership Rugby Sevens SeriesSeries ? ,pale lager
607,When was Erik Watts' father born?,"May 5, 1939"
608,"When was one of the fresco mural, one of the greatest treasures of the Hood Museum of Art, painted?",between 1932 and 1934
609,"Love Child is a 1982 biopic starring Beau Bridges, Mackenzie Phillips, and an actress that was nominated for the Academy Award for Best Supporting Actress for what 1985 film? ","""Twice in a Lifetime"""
610,Ho Iat Seng  is a member of a legislative assembly that has how many members ?,33-member
611,How many times has the team Jack McKeon managed won the World Series?,two World Series championships
612,are Tinto Brass and Baltasar Kormákur both from the same country ?,no
613,Who is younger Kirk Humphreys or Tom Coburn?,Kirk Humphreys
614,The head writer for which show also wrote a Simpsons' episode narrated by James Earl Jones?,Futurama
615,"Which singer has been in more music bands, Michael Crafter or Martin Degville?",Michael Crafter
616,Who is prime minister of this West African country that covers 36125km2?,Umaro Mokhtar Sissoco Embaló
617,"Which football team does Lewis Young's older brother, Ashley Young, play for?",Premier League club Manchester United and the England national team
618,What album starring Ed Sheeran was released on 3 March 2017?,"÷ (pronounced ""divide"") is the third studio album by English singer-songwriter Ed Sheeran."
619,What nationality was the lover of Lord Alfred Douglas ? ,Irish
620,"Which band included more previously-known figures when it was formed, !!! or Puddle of Mudd?",!!!
621,Edward C. Hugger and Alexander Acosta served at appointees for what job?,Secretary of Labor
622,What man is linked to both Johnny Tremain and Magic Kingdom?,Walt Disney
623,What drum machine was introduced in 1989 and allowed 32 notes to be played simultaneously?,The R-8 Human Rhythm Composer
624,"What characteristic meaning it's transferable between species, does monkeypox and cowpox virus both share?",zoonotic
625,Near what ocean does the highway carried by the Long-Allen bridge terminate near?,the Atlantic Ocean
626,"The song ""Medicine"" by The 1975 appears in a film directed by what Danish filmmaker?",Nicolas Winding Refn
627,Which member of Odd Future also had a guest appearance on the album too Cozy?,Frank Ocean
628,"What two shows is the director of the first ""Clone Wars"" series known for creating?","""Dexter's Laboratory"", ""Samurai Jack"""
629,Who is the son of John Button under contract with as a driver?,McLaren-Honda
630,"What person, known also as Jane Ryan, has a four lane highway in the Philippines name after her? ",Imelda Marcos
631,"Which band was formed first, Wire or Young the Giant?",Wire
